$id,$permissions,$createdAt,$updatedAt,title,summary,mission,audio_url
1,,2026-01-30T19:27:11.988+00:00,2026-02-08T19:31:17.186+00:00,Día 1: Mis Creencias y el Dinero,"¡Bienvenido, bienvenida!
Sé que hablar de dinero puede ser un tabú para algunas personas y, aunque resulte incómodo, es una conversación que debemos tener libremente para que la abundancia se presente en nuestra vida. En estas próximas semanas tendrás grandes retos que te harán pensar y sentirás mucha incomodidad, pero te aseguro que al terminar podrás tener las bases para unas finanzas saludables.
Hoy empiezas mirando hacia atrás. Te das cuenta de que tu relación con el dinero no comenzó cuando recibiste tu primer sueldo, sino mucho antes, en tu casa, escuchando conversaciones que parecían normales.

Tal vez creciste oyendo frases como ""el dinero no crece en los árboles"", ""los ricos son malos"" o ""mejor poquito pero seguro"". En su momento no las cuestionaste, pero hoy entiendes algo clave: esas frases se quedaron grabadas en tu forma de pensar y decidir.

Sin darte cuenta, esas creencias pueden hacer que rechaces oportunidades, que te conformes con menos o que sientas culpa cuando ganas más. A esto se le llama epigenética financiera: no solo heredas genes, también heredas historias, miedos y experiencias financieras de generaciones anteriores. Quizá vienes de una familia con deudas, pleitos por herencias o escasez constante… y hoy cargas con ese miedo aunque tu realidad sea distinta.

👉 Hoy no se trata de culpar a nadie, sino de darte cuenta de que muchas decisiones que tomas no son realmente tuyas… son programas viejos.","Anota todas las frases sobre dinero que recuerdes haber escuchado en tu familia. Luego pregúntate con honestidad:
👉 ¿Esta creencia me ayuda o me limita hoy?",https://res.cloudinary.com/de0fbhdir/video/upload/v1770579031/Dia1_Finaria_rvdzme.mp3
2,,2026-01-30T19:27:12.311+00:00,2026-02-08T19:46:02.224+00:00,Día 2: Presupuesto Seguro vs Presupuesto Estilo,"Hoy entiendes que el problema no es gastar, sino no saber en qué se te va el dinero.
Divides tu dinero en dos grandes mundos:
Presupuesto Seguro: lo que necesitas para vivir con dignidad: renta, comida, servicios, transporte.
Presupuesto Estilo: todo lo que hace tu vida más disfrutable: salidas, viajes, cafés, gustos, caprichos.
El error común es mezclar todo. Cuando haces eso, llega la culpa: gastas en algo que te gusta y luego te castigas mentalmente. Aquí aprendes algo importante: el placer no es el enemigo, el desorden sí.
Ejemplo real:
Si no tienes claro tu Presupuesto Estilo, una salida a cenar se siente como irresponsabilidad. Pero si ya está contemplada, se vuelve disfrute sin culpa.","Haz una lista de todos tus gastos mensuales y clasifícalos en Seguro o Estilo. Aquí mismo en tu aplicación de Finaria hay un apartado en la sección de Finanzas donde podrás agregar tu Presupuesto Seguro y tú Presupuesto Estilo.
Si tienes gastos anuales (seguro del coche, suscripciones), divídelos entre 12 para ver su impacto real.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770579799/Dia2_Finaria_lf2tys.mp3
3,,2026-01-30T19:27:12.758+00:00,2026-02-08T19:57:28.811+00:00,Día 3: Mi Radiografía Financiera (Flujo de Efectivo),"Hoy te haces una radiografía financiera. Sin drama, sin juicios.
Sumas todo lo que entra: sueldo, bonos, comisiones, ingresos extra.
Luego sumas todo lo que sale.
Aquí pasa algo revelador:
Si te sobra dinero, vas bien.
Si no te sobra nada… estás en la cuerda floja.
Si gastas más de lo que ganas, estás viviendo del futuro.
Cuando el flujo es negativo, básicamente estás pidiendo dinero prestado a tu ""yo"" de mañana. Tarjetas, créditos o deudas solo están tapando un hoyo.","Calcula tu ingreso promedio mensual y compáralo con tus gastos totales.
Escribe el resultado y respóndete:
👉 ¿Estoy avanzando o me estoy endeudando en silencio?",https://res.cloudinary.com/de0fbhdir/video/upload/v1770580612/Dia3_Finaria_lkzqfg.mp3
4,,2026-01-30T19:27:13.130+00:00,2026-02-11T07:52:40.789+00:00,Día 4: Registrando mis Ingresos,"Hoy entiendes algo clave: la intención sin sistema no sirve.
Puedes querer ahorrar, mejorar o salir de deudas… pero si no registras lo que haces, todo queda en promesas. Por eso eliges un sistema que se adapte a ti, no al revés.
Tal vez te funciona una app o incluso Excel. No importa cuál uses, lo importante es no mentirte. Como regalo, aquí en esta misma app incluye un registro de gastos donde podrás agregar tus cuentas bancarias, deudas, tarjetas de credito, efectivo y ademas podrás crear presupuestos.
Aquí pasa algo curioso: cuando empiezas a registrar todo, te das cuenta de gastos invisibles. Los ""solo fueron 20 pesos"" se convierten en cientos al mes.","Usa este sistema y comprométete a registrar absolutamente todos tus gastos durante 7 días. Sí, incluso los más pequeños.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770582290/Dia4_Finaria_ttlix5.mp3
5,,2026-01-30T19:27:14.056+00:00,2026-02-08T20:48:47.242+00:00,Día 5: Técnica RES y el Billete a la Vista,"Hoy no se trata de sufrir, sino de optimizar.
Aplicas la técnica RES:
Reducir: no dejas de hacer algo, solo lo haces menos.
Eliminar: quitas lo que no usas o no te aporta.
Simplificar: buscas opciones más baratas o eficientes.

Ejemplo real:
No eliminas el café, pero en lugar de diario, lo haces 2 veces por semana.
No quitas el streaming, pero compartes el plan.

Además, haces algo poderoso para tu mente: el billete a la vista. Colocas un billete de alta denominación en un lugar visible. No para gastarlo, sino para entrenar a tu cerebro a convivir con el dinero sin ansiedad.","Marca tus gastos en Reducir, Eliminar o Simplificar.
Coloca un billete de $200 o $500 en un lugar visible y no lo toques durante el curso.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770583602/Dia5_Finaria_un3bwd.mp3
6,,2026-01-30T19:27:14.534+00:00,2026-02-08T20:48:35.998+00:00,Día 6: El Sistema de las Seis Cajas,"Hoy dejas de ahorrar ""lo que sobra"" y empiezas a asignar tu dinero con intención.
Divides tu ingreso en seis cajas:
Libertad Financiera: inversiones.
Necesidades: gastos básicos.
Juego: disfrute sin culpa.
Ahorro Largo Plazo: dinero intocable.
Educación: crecer y aprender.
Dar: apoyar, compartir, agradecer.

Esto cambia tu relación con el dinero porque cada peso ya tiene un propósito antes de que llegue a tus manos.","Crea estas seis divisiones (sobres, cuentas o apartados) y reparte tu próximo ingreso.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770583618/Dia6_Finaria_apbg9o.mp3
7,,2026-01-30T19:27:14.941+00:00,2026-02-08T22:33:53.838+00:00,Día 7: Patrimonio Líquido y la Ley del Vacío,"Hoy haces algo que casi nadie hace: ponerle precio real a lo que tienes.
No lo que te costó, sino lo que valdría hoy si lo vendieras. Te das cuenta de que tienes cosas guardadas que son dinero detenido.

Aquí aplicas la Ley del Vacío:
Si tu casa, tu clóset o tu vida están llenos de cosas que no usas, no hay espacio para que llegue algo nuevo.","Haz un inventario de todos los bienes que tienes, ponles un precio como si los vendieras hoy mismo y clasifica tus cosas en:
Tirar
Regalar
Vender

Lo que se mueve, libera energía… y a veces, también efectivo 💸

En esta misma aplicación, en la sección de Finanzas, podrás crear tu inventario de Patrimonio Líquido.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770584495/Dia7_Finaria_bog9ht.mp3
8,,2026-01-30T19:27:15.280+00:00,2026-02-08T22:26:32.394+00:00,Día 8: Índice de Tranquilidad Financiera,"Hoy te preguntas: ""Si mañana pierdo mi trabajo, ¿cuánto tiempo puedo vivir con mis ahorros?"" Esta no es una pregunta para asustarte, sino para medir tu índice de tranquilidad.

Sumas el valor de tu patrimonio líquido (lo que puedes vender o convertir en efectivo rápidamente: dinero en cuentas, inversiones líquidas, valor de objetos que puedas vender). Luego lo divides entre tu presupuesto seguro mensual (lo que necesitas para cubrir gastos básicos). El resultado te dice cuántos meses podrías vivir sin ingresos.

Por ejemplo, si tu patrimonio líquido es de $120,000 y tu presupuesto seguro mensual es de $20,000, entonces tienes 6 meses de tranquilidad. Ese número se convierte en tu colchón mental.","Haz la división (Total Patrimonio Líquido ÷ Presupuesto Seguro) y escribe cuántos meses puedes vivir tranquilo. Si la cifra es pequeña, no te asustes; este ejercicio es para darte perspectiva y motivarte a fortalecer tu colchón.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770585620/D%C3%ADa8_Finaria_jdsedg.mp3
9,,2026-01-30T19:27:15.615+00:00,2026-02-08T22:27:03.875+00:00,Día 9: Índice de Dependencia Financiera,"Hoy te das cuenta de que, si toda tu entrada de dinero depende de un solo sueldo, estás caminando sobre una cuerda floja. Diversificar tus ingresos no es una moda, es una protección.

Analiza de dónde viene tu dinero. ¿Tienes un sueldo fijo? ¿Recibes comisiones? ¿Vendes algún producto? Si el 100% viene de un único lugar, una mala noticia en ese trabajo puede sacudir todo tu mundo.

Ejemplo:
Si en tu casa solo entra dinero de tu sueldo y tienes un par de meses de tranquilidad, cualquier imprevisto se lleva todo el colchón. En cambio, si un 70% viene de tu sueldo y un 30% de un negocio pequeño o freelance, la balanza se mantiene más estable.","Haz una lista de tus fuentes de ingreso y calcula qué porcentaje representan. Si solo tienes una, anota ideas para crear otra fuente, por pequeña que sea: vender productos por internet, dar clases, monetizar un hobby, etc.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770585628/Dia9_Finaria_whsfnx.mp3
10,,2026-01-30T19:27:15.971+00:00,2026-02-08T22:27:17.995+00:00,Día 10: Pequeñas Victorias (Pagar Deudas),"Hoy dejas de ver tus deudas como monstruos y las conviertes en una lista de retos manejables. La técnica de las Pequeñas Victorias consiste en ordenarlas de menor a mayor monto y atacar la más pequeña primero.

¿Por qué funciona? Porque tu cerebro se motiva al ver un logro rápido. Cada deuda saldada es como tachar un pendiente de tu lista; te llena de energía para atacar la siguiente.

Ejemplo:
Tienes tres deudas: una tarjeta con $3,000, otra con $10,000 y un préstamo de $50,000. Pagas el mínimo en todas, pero destinas cualquier extra a la tarjeta de $3,000. Cuando la liquidas, el dinero que usabas ahí se redirige a la siguiente. Y cada pago exitoso te anima a seguir.","Escribe todas tus deudas de menor a mayor. Sigue pagando el mínimo en todas y enfócate en liquidar la más pequeña. Cuando lo logres, celebra: date un pequeño premio (dentro de tu Presupuesto Estilo).",https://res.cloudinary.com/de0fbhdir/video/upload/v1770586377/Dia10_Finafia_odyalx.mp3
